title,openreview_link,authors
Globally injective and bijective neural operators,https://openreview.net/forum?id=6cc69ArD3O,"Takashi Furuya, Michael Puthawala, Matti Lassas, Maarten V. de Hoop"
ComSL: A Composite Speech-Language Model for End-to-End Speech-to-Text Translation,https://openreview.net/forum?id=6Qx7G1xrAk,"Chenyang Le, Yao Qian, Long Zhou, Shujie LIU, Yanmin Qian, Michael Zeng, Xuedong Huang"
DFRD: Data-Free Robustness Distillation for Heterogeneous Federated Learning,https://openreview.net/forum?id=3H9QH1v6U9,"kangyang Luo, Shuai Wang, Yexuan Fu, Xiang Li, Yunshi Lan, Ming Gao"
An Information-Theoretic Evaluation of Generative Models in Learning Multi-modal Distributions,https://openreview.net/forum?id=PdZhf6PiAb,"Mohammad Jalali, Cheuk Ting Li, Farzan Farnia"
GAUCHE: A Library for Gaussian Processes in Chemistry,https://openreview.net/forum?id=vzrA6uqOis,"Ryan-Rhys Griffiths, Leo Klarner, Henry Moss, Aditya Ravuri, Sang Truong, Yuanqi Du, Samuel Stanton, Gary Tom, Bojana Rankovic, Arian Jamasb, Aryan Deshwal, Julius Schwartz, Austin Tripp, Gregory Kell, Simon Frieder, Anthony Bourached, Alex Chan, Jacob Moss, Chengzhi Guo, Johannes Peter Dürholt, Saudamini Chaurasia, Ji Won Park, Felix Strieth-Kalthoff, Alpha Lee, Bingqing Cheng, Alan Aspuru-Guzik, Philippe Schwaller, Jian Tang"
Structure-free Graph Condensation: From Large-scale Graphs to Condensed Graph-free Data,https://openreview.net/forum?id=XkcufOcgUc,"Xin Zheng, Miao Zhang, Chunyang Chen, Quoc Viet Hung Nguyen, Xingquan Zhu, Shirui Pan"
AdaVAE: Bayesian Structural Adaptation for Variational Autoencoders,https://openreview.net/forum?id=gMjIUZBKH8,"Paribesh Regmi, Rui Li"
Squared Neural Families: A New Class of Tractable Density Models,https://openreview.net/forum?id=FDzQQTPqEJ,"Russell Tsuchida, Cheng Soon Ong, Dino Sejdinovic"
"PIXIU: A Comprehensive Benchmark, Instruction Dataset and Large Language Model for Finance",https://openreview.net/forum?id=vTrRq6vCQH,"Qianqian Xie, Weiguang Han, Xiao Zhang, Yanzhao Lai, Min Peng, Alejandro Lopez-Lira, Jimin Huang"
Deciphering Spatio-Temporal Graph Forecasting: A Causal Lens and Treatment,https://openreview.net/forum?id=17Zkztjlgt,"Yutong Xia, Yuxuan Liang, Haomin Wen, Xu Liu, Kun Wang, Zhengyang Zhou, Roger Zimmermann"
Towards Semi-Structured Automatic ICD Coding via Tree-based Contrastive Learning,https://openreview.net/forum?id=Wff6DWFY2W,"Chang Lu, Chandan Reddy, Ping Wang, Yue Ning"
TabMT: Generating tabular data with masked transformers,https://openreview.net/forum?id=qs4swxtIAQ,"Manbir Gulati, Paul Roysdon"
Described Object Detection: Liberating Object Detection with Flexible Expressions,https://openreview.net/forum?id=0hwq2vOHT4,"Chi Xie, Zhao Zhang, Yixuan Wu, Feng Zhu, Rui Zhao, Shuang Liang"
Topological Parallax: A Geometric Specification for Deep Perception Models,https://openreview.net/forum?id=SthlUe5xDP,"Abraham Smith, Michael Catanzaro, Gabrielle Angeloro, Nirav Patel, Paul Bendich"
Sketching Algorithms for Sparse Dictionary Learning: PTAS and Turnstile Streaming,https://openreview.net/forum?id=qHzEFxtheD,"Gregory Dexter, Petros Drineas, David Woodruff, Taisuke Yasuda"
Unleashing the Power of Randomization in Auditing Differentially Private ML,https://openreview.net/forum?id=mlbes5TAAg,"Krishna Pillutla, Galen Andrew, Peter Kairouz, H. Brendan McMahan, Alina Oprea, Sewoong Oh"
Learning Modulated Transformation in GANs,https://openreview.net/forum?id=h8vJVABiBP,"Ceyuan Yang, Qihang Zhang, Yinghao Xu, Jiapeng Zhu, Yujun Shen, Bo Dai"
Decompose a Task into Generalizable Subtasks in Multi-Agent Reinforcement Learning,https://openreview.net/forum?id=aky0dKv9ip,"Zikang Tian, Ruizhi Chen, Xing Hu, Ling Li, Rui Zhang, Fan Wu, Shaohui Peng, Jiaming Guo, Zidong Du, Qi Guo, Yunji Chen"
Disentangled Wasserstein Autoencoder for T-Cell Receptor Engineering,https://openreview.net/forum?id=Eb74zfBkWa,"Tianxiao Li, Hongyu Guo, Filippo Grazioli, Mark Gerstein, Martin Renqiang Min"
Active representation learning for general task space with applications in robotics,https://openreview.net/forum?id=RiwPYAMLur,"Yifang Chen, Yingbing Huang, Simon Du, Kevin Jamieson, Guanya Shi"
Towards Federated Foundation Models: Scalable Dataset Pipelines for Group-Structured Learning,https://openreview.net/forum?id=EPz1DcdPVE,"Zachary Charles, Nicole Mitchell, Krishna Pillutla, Michael Reneer, Zachary Garrett"
On Occlusions in Video Action Detection: Benchmark Datasets And Training Recipes,https://openreview.net/forum?id=0cltUI2Sto,"Rajat Modi, Vibhav Vineet, Yogesh Rawat"
